home_team_id,away_team_id,predicted_match_result
9825,8654,Draw
8678,8654,Draw
8455,8654,Draw
8668,8654,Lose
8197,8654,Draw
10260,8654,Draw
10261,8654,Draw
10194,8654,Draw
8659,8654,Draw
10252,8654,Draw
8650,8654,Draw
8472,8654,Draw
9826,8654,Draw
8456,8654,Draw
8466,8654,Draw
10003,8654,Draw
8586,8654,Draw
9817,8654,Draw
9825,8668,Win
8678,8668,Draw
8455,8668,Win
8197,8668,Draw
10260,8668,Draw
10261,8668,Draw
9850,8668,Draw
10194,8668,Draw
8659,8668,Draw
10252,8668,Draw
8650,8668,Draw
8472,8668,Draw
8654,8668,Draw
9826,8668,Lose
8456,8668,Draw
8466,8668,Draw
10003,8668,Draw
8586,8668,Draw
9817,8668,Lose
9825,8586,Draw
8678,8586,Draw
8455,8586,Win
8668,8586,Win
8197,8586,Draw
10260,8586,Draw
10261,8586,Win
9850,8586,Draw
10194,8586,Win
8659,8586,Draw
10252,8586,Draw
8650,8586,Draw
8472,8586,Win
8654,8586,Draw
9826,8586,Win
8456,8586,Win
8466,8586,Win
10003,8586,Draw
9817,8586,Draw
9825,8472,Win
8678,8472,Draw
8455,8472,Win
8668,8472,Draw
8197,8472,Win
10260,8472,Win
10261,8472,Draw
9850,8472,Draw
10194,8472,Draw
8659,8472,Win
10252,8472,Draw
8650,8472,Win
9826,8472,Draw
8456,8472,Draw
8466,8472,Draw
10003,8472,Draw
8586,8472,Draw
9817,8472,Draw
9825,8456,Draw
8678,8456,Draw
8455,8456,Draw
8668,8456,Draw
8197,8456,Draw
10260,8456,Draw
10261,8456,Draw
9850,8456,Draw
10194,8456,Draw
8659,8456,Draw
10252,8456,Draw
8650,8456,Draw
8472,8456,Draw
8654,8456,Draw
9826,8456,Draw
8466,8456,Draw
10003,8456,Draw
8586,8456,Draw
9817,8456,Draw
9825,8678,Win
8455,8678,Win
8668,8678,Draw
8197,8678,Draw
10260,8678,Draw
10261,8678,Draw
9850,8678,Draw
10194,8678,Draw
8659,8678,Draw
10252,8678,Draw
8650,8678,Draw
8472,8678,Win
8654,8678,Draw
9826,8678,Draw
8456,8678,Win
8466,8678,Draw
10003,8678,Draw
8586,8678,Draw
9817,8678,Draw
9825,10261,Win
8678,10261,Draw
8455,10261,Win
8668,10261,Draw
8197,10261,Draw
10260,10261,Win
9850,10261,Draw
10194,10261,Win
8659,10261,Draw
10252,10261,Draw
8650,10261,Win
8472,10261,Win
8654,10261,Draw
9826,10261,Draw
8456,10261,Draw
8466,10261,Win
10003,10261,Win
8586,10261,Draw
9817,10261,Lose
9825,8455,Draw
8678,8455,Draw
8668,8455,Draw
8197,8455,Draw
10260,8455,Draw
10261,8455,Draw
9850,8455,Draw
10194,8455,Draw
8659,8455,Draw
10252,8455,Draw
8650,8455,Draw
8472,8455,Draw
8654,8455,Draw
9826,8455,Draw
8456,8455,Draw
8466,8455,Draw
10003,8455,Win
8586,8455,Draw
9817,8455,Draw
9825,8466,Draw
8678,8466,Lose
8455,8466,Win
8668,8466,Draw
8197,8466,Draw
10260,8466,Win
10261,8466,Draw
9850,8466,Draw
10194,8466,Draw
8659,8466,Lose
10252,8466,Draw
8650,8466,Draw
8472,8466,Draw
8654,8466,Draw
9826,8466,Draw
8456,8466,Win
10003,8466,Lose
8586,8466,Draw
9817,8466,Draw
9825,8197,Draw
8678,8197,Draw
8455,8197,Win
8668,8197,Draw
10260,8197,Win
10261,8197,Win
9850,8197,Draw
10194,8197,Win
8659,8197,Draw
10252,8197,Draw
8650,8197,Draw
8472,8197,Draw
8654,8197,Draw
9826,8197,Win
8456,8197,Draw
8466,8197,Draw
10003,8197,Draw
8586,8197,Draw
9817,8197,Draw
9825,10003,Draw
8678,10003,Draw
8455,10003,Win
8668,10003,Draw
8197,10003,Draw
10260,10003,Win
10261,10003,Draw
9850,10003,Draw
10194,10003,Draw
8659,10003,Draw
10252,10003,Draw
8650,10003,Draw
8472,10003,Draw
8654,10003,Draw
9826,10003,Draw
8456,10003,Win
8466,10003,Draw
8586,10003,Draw
9817,10003,Draw
9825,8650,Win
8678,8650,Draw
8455,8650,Win
8668,8650,Draw
8197,8650,Draw
10260,8650,Win
10261,8650,Draw
9850,8650,Draw
10194,8650,Win
8659,8650,Draw
10252,8650,Draw
8472,8650,Lose
8654,8650,Draw
9826,8650,Lose
8456,8650,Draw
8466,8650,Draw
10003,8650,Draw
8586,8650,Win
9817,8650,Draw
9825,8659,Draw
8678,8659,Draw
8455,8659,Win
8668,8659,Draw
8197,8659,Draw
10260,8659,Win
10261,8659,Draw
9850,8659,Draw
10194,8659,Draw
10252,8659,Draw
8650,8659,Draw
8472,8659,Draw
8654,8659,Draw
9826,8659,Draw
8456,8659,Draw
8466,8659,Draw
10003,8659,Draw
8586,8659,Draw
9817,8659,Draw
9825,9817,Draw
8678,9817,Draw
8455,9817,Draw
8668,9817,Lose
8197,9817,Draw
10260,9817,Draw
10261,9817,Draw
9850,9817,Draw
10194,9817,Draw
8659,9817,Draw
10252,9817,Draw
8650,9817,Draw
8472,9817,Draw
8654,9817,Draw
9826,9817,Draw
8456,9817,Win
8466,9817,Draw
10003,9817,Draw
8586,9817,Draw
9825,9826,Draw
8678,9826,Draw
8455,9826,Win
8668,9826,Draw
8197,9826,Draw
10260,9826,Win
10261,9826,Draw
9850,9826,Draw
10194,9826,Draw
8659,9826,Draw
10252,9826,Draw
8650,9826,Draw
8472,9826,Draw
8654,9826,Draw
8456,9826,Draw
8466,9826,Draw
10003,9826,Draw
8586,9826,Draw
9817,9826,Draw
9825,9850,Draw
8678,9850,Draw
8455,9850,Win
8197,9850,Draw
10260,9850,Win
10261,9850,Win
10194,9850,Draw
8659,9850,Draw
10252,9850,Draw
8650,9850,Win
8472,9850,Draw
8654,9850,Win
9826,9850,Draw
8456,9850,Draw
8466,9850,Draw
10003,9850,Draw
8586,9850,Win
9817,9850,Draw
9825,10252,Draw
8678,10252,Draw
8455,10252,Win
8668,10252,Draw
8197,10252,Draw
10260,10252,Win
10261,10252,Draw
9850,10252,Draw
10194,10252,Win
8659,10252,Draw
8650,10252,Draw
8472,10252,Draw
8654,10252,Draw
9826,10252,Draw
8456,10252,Draw
8466,10252,Draw
10003,10252,Draw
8586,10252,Win
9817,10252,Draw
9825,10194,Draw
8678,10194,Draw
8455,10194,Win
8668,10194,Draw
8197,10194,Draw
10260,10194,Win
10261,10194,Draw
9850,10194,Draw
8659,10194,Draw
10252,10194,Draw
8650,10194,Draw
8472,10194,Draw
8654,10194,Draw
9826,10194,Draw
8456,10194,Draw
8466,10194,Draw
10003,10194,Draw
8586,10194,Draw
9817,10194,Draw
9825,10260,Draw
8678,10260,Draw
8455,10260,Win
8668,10260,Draw
8197,10260,Draw
10261,10260,Draw
9850,10260,Draw
10194,10260,Draw
8659,10260,Draw
10252,10260,Draw
8650,10260,Draw
8472,10260,Draw
8654,10260,Draw
9826,10260,Draw
8456,10260,Win
8466,10260,Draw
10003,10260,Draw
8586,10260,Win
9817,10260,Draw
8678,9825,Draw
8455,9825,Win
8668,9825,Draw
8197,9825,Draw
10260,9825,Draw
10261,9825,Draw
9850,9825,Draw
10194,9825,Win
8659,9825,Draw
10252,9825,Draw
8650,9825,Draw
8472,9825,Draw
8654,9825,Draw
9826,9825,Draw
8456,9825,Win
8466,9825,Lose
10003,9825,Draw
8586,9825,Draw
9817,9825,Lose
